,time,duration,code,label
526,417527,0,20,0
527,417783,0,18,1
528,418039,0,19,0
529,418295,0,21,0
530,418551,0,11,1
531,418808,0,1,1
532,419064,0,12,1
533,419929,0,20,1
534,420184,0,24,1
535,420440,0,21,1
536,420696,0,22,1
537,420952,0,23,0
538,421208,0,1,0
539,421464,0,18,1
540,421720,0,11,0
541,421977,0,19,0
542,422234,0,12,0
543,423099,0,13,1
544,428466,0,2,1
545,428486,0,20,0
546,428731,0,1,0
547,428987,0,23,1
548,429243,0,22,1
549,429500,0,19,0
550,429756,0,21,0
551,430011,0,18,0
552,430268,0,24,0
553,430524,0,11,0
554,430780,0,12,1
555,431646,0,23,1
556,431900,0,18,0
557,432156,0,20,1
558,432412,0,1,1
559,432668,0,24,0
560,432924,0,19,0
561,433181,0,22,0
562,433437,0,11,0
563,433693,0,21,1
564,433949,0,12,1
565,434815,0,13,0
566,440252,0,2,1
567,440281,0,11,1
568,440527,0,24,1
569,440783,0,23,1
570,441039,0,18,1
571,441296,0,19,1
572,441552,0,20,1
573,441808,0,1,1
574,442064,0,21,0
575,442320,0,22,1
576,442576,0,12,1
577,443442,0,21,0
578,443697,0,23,0
579,443953,0,24,0
580,444209,0,1,1
581,444465,0,11,0
582,444721,0,20,0
583,444977,0,19,0
584,445233,0,22,0
585,445489,0,18,0
586,445746,0,12,0
587,446613,0,13,0
588,452008,0,2,0
589,452031,0,20,1
590,452277,0,23,1
591,452533,0,18,1
592,452789,0,19,0
593,453045,0,24,0
594,453301,0,22,1
595,453557,0,1,1
596,453813,0,11,1
597,454069,0,21,1
598,454326,0,12,1
599,455191,0,23,0
600,455446,0,19,0
601,455702,0,20,0
602,455958,0,11,0
603,456214,0,1,1
604,456470,0,18,0
605,456726,0,21,0
606,456982,0,22,0
607,457238,0,24,0
608,457495,0,12,0
609,458361,0,13,1
610,463788,0,2,1
611,463811,0,18,0
612,464057,0,24,0
613,464313,0,23,1
614,464569,0,20,1
615,464825,0,22,0
616,465081,0,1,0
617,465337,0,11,1
618,465593,0,21,0
619,465850,0,19,0
620,466106,0,12,1
621,466971,0,21,0
622,467226,0,22,1
623,467482,0,1,1
624,467738,0,20,1
625,467994,0,19,1
626,468250,0,11,1
627,468506,0,18,1
628,468763,0,24,1
629,469019,0,23,1
630,469276,0,12,0
631,470142,0,13,1
632,475515,0,2,0
633,475543,0,18,0
634,475789,0,19,1
635,476045,0,23,1
636,476301,0,21,0
637,476558,0,11,1
638,476815,0,1,0
639,477071,0,22,1
640,477327,0,20,0
641,477583,0,24,1
642,477839,0,12,0
643,478705,0,22,0
644,478959,0,23,1
645,479215,0,11,0
646,479472,0,1,0
647,479728,0,18,1
648,479984,0,20,1
649,480240,0,21,1
650,480496,0,19,1
651,480752,0,24,0
652,481008,0,12,0
653,481875,0,13,0
654,483242,0,15,1
655,488388,0,17,0
